epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,22228.6,0.74958,0.39272,0.89628,0.92814,0.90866,0.9662,0.78908,0.67782,0.35641,0.88176,0.0022285,0.0022285,0.0022285
159,22373.9,0.7518,0.3956,0.89508,0.93052,0.90664,0.96629,0.78889,0.67649,0.35642,0.88115,0.002179,0.002179,0.002179
160,22514.4,0.751,0.3933,0.89707,0.93053,0.90675,0.96618,0.78944,0.67659,0.35644,0.88102,0.0021295,0.0021295,0.0021295
161,22638.4,0.7477,0.39242,0.89487,0.92889,0.90766,0.96563,0.78988,0.67611,0.35605,0.88108,0.00208,0.00208,0.00208
162,22758,0.74568,0.39266,0.89333,0.92966,0.90662,0.96541,0.78924,0.6761,0.35595,0.88123,0.0020305,0.0020305,0.0020305
163,22881.2,0.75107,0.39318,0.89533,0.93145,0.90567,0.96615,0.78973,0.67521,0.35556,0.8809,0.001981,0.001981,0.001981
164,23000.3,0.7474,0.39325,0.89568,0.93015,0.90911,0.96653,0.79027,0.67459,0.35534,0.88043,0.0019315,0.0019315,0.0019315
165,23123.6,0.74867,0.39126,0.89434,0.92709,0.91125,0.96608,0.78971,0.67413,0.35491,0.88028,0.001882,0.001882,0.001882
166,23246.2,0.74561,0.39058,0.89505,0.92813,0.91148,0.96641,0.78985,0.6738,0.35459,0.88026,0.0018325,0.0018325,0.0018325
167,23370.9,0.74392,0.39058,0.89416,0.93072,0.90934,0.96639,0.79007,0.67339,0.35464,0.88016,0.001783,0.001783,0.001783
168,23489,0.74257,0.38945,0.89503,0.92924,0.9102,0.96613,0.79033,0.67327,0.35423,0.88015,0.0017335,0.0017335,0.0017335
169,23610.6,0.74718,0.39075,0.89514,0.92885,0.9109,0.96647,0.79097,0.67261,0.35411,0.88,0.001684,0.001684,0.001684
170,23728.8,0.73934,0.38787,0.89346,0.92654,0.91213,0.96672,0.79106,0.67142,0.35386,0.87959,0.0016345,0.0016345,0.0016345
171,23849.4,0.73809,0.38962,0.89388,0.92736,0.91252,0.9666,0.79119,0.67091,0.35339,0.87954,0.001585,0.001585,0.001585
172,23966.5,0.73859,0.38781,0.89422,0.92738,0.91275,0.96653,0.79154,0.67061,0.35313,0.87951,0.0015355,0.0015355,0.0015355
173,24091.1,0.73688,0.38715,0.893,0.92862,0.91113,0.9662,0.79157,0.67139,0.35353,0.87978,0.001486,0.001486,0.001486
174,24216.3,0.7383,0.38657,0.89301,0.92799,0.91259,0.96626,0.79185,0.67128,0.35345,0.87982,0.0014365,0.0014365,0.0014365
175,24335.9,0.73588,0.38848,0.89253,0.92852,0.91345,0.96667,0.79174,0.67103,0.35342,0.87969,0.001387,0.001387,0.001387
