epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,13923.5,0.66745,0.35147,0.87664,0.92344,0.92533,0.9708,0.82003,0.6048,0.31655,0.86719,0.005842,0.005842,0.005842
86,14096.6,0.67186,0.35576,0.87772,0.92953,0.92189,0.97103,0.82049,0.60497,0.31836,0.86795,0.0057925,0.0057925,0.0057925
87,14265,0.66904,0.3529,0.87799,0.93026,0.92147,0.97128,0.82162,0.59965,0.31565,0.86667,0.005743,0.005743,0.005743
88,14438.9,0.66373,0.3521,0.8749,0.9331,0.91888,0.97053,0.82211,0.60174,0.31697,0.86672,0.0056935,0.0056935,0.0056935
89,14606,0.6633,0.35075,0.87551,0.93006,0.92321,0.97133,0.82297,0.60028,0.31508,0.86624,0.005644,0.005644,0.005644
90,14774.7,0.66003,0.34883,0.87439,0.93274,0.92004,0.97114,0.82157,0.59878,0.31185,0.86691,0.0055945,0.0055945,0.0055945
91,14947.7,0.66099,0.34945,0.87294,0.9335,0.91944,0.97107,0.82314,0.59906,0.31284,0.86651,0.005545,0.005545,0.005545
92,15120.5,0.65928,0.34778,0.87514,0.92573,0.92448,0.97215,0.82235,0.59828,0.31119,0.86683,0.0054955,0.0054955,0.0054955
93,15289.3,0.65848,0.34729,0.87319,0.92933,0.92211,0.97161,0.82212,0.59844,0.31155,0.86685,0.005446,0.005446,0.005446
94,15460,0.65794,0.34668,0.87206,0.93122,0.92004,0.9715,0.8225,0.59856,0.31127,0.86684,0.0053965,0.0053965,0.0053965
95,15628.9,0.65641,0.34505,0.8733,0.92959,0.92577,0.97246,0.82375,0.59531,0.31023,0.86533,0.005347,0.005347,0.005347
96,15798.3,0.65815,0.34713,0.87337,0.92907,0.92298,0.97219,0.82477,0.59341,0.31006,0.86463,0.0052975,0.0052975,0.0052975
97,15971.2,0.66004,0.34778,0.87549,0.93181,0.91796,0.97145,0.82425,0.59476,0.31067,0.86564,0.005248,0.005248,0.005248
98,16138.6,0.65198,0.34524,0.8716,0.92726,0.9249,0.9719,0.82382,0.59718,0.311,0.86476,0.0051985,0.0051985,0.0051985
99,16311.3,0.65244,0.34546,0.87186,0.9303,0.92317,0.97195,0.8226,0.59754,0.31043,0.86546,0.005149,0.005149,0.005149
100,16480.9,0.65237,0.34396,0.87272,0.92772,0.92363,0.97128,0.82227,0.59763,0.31022,0.86642,0.0050995,0.0050995,0.0050995
101,16647,0.64739,0.34236,0.86948,0.92401,0.92444,0.97161,0.82461,0.59341,0.31008,0.86532,0.00505,0.00505,0.00505
102,16818.8,0.64819,0.34142,0.86978,0.92583,0.92687,0.97201,0.82576,0.59297,0.3074,0.8649,0.0050005,0.0050005,0.0050005
103,16991.3,0.64728,0.34128,0.87098,0.92945,0.92071,0.97052,0.82355,0.59579,0.30814,0.86582,0.004951,0.004951,0.004951
104,17159.4,0.64691,0.3402,0.87013,0.9243,0.92964,0.97147,0.82652,0.59264,0.30887,0.86493,0.0049015,0.0049015,0.0049015
105,17329.8,0.64722,0.34143,0.86946,0.93008,0.92178,0.97155,0.82575,0.59229,0.3072,0.86561,0.004852,0.004852,0.004852
106,17501.2,0.63939,0.33838,0.8683,0.92568,0.92524,0.97207,0.8255,0.5952,0.30905,0.86603,0.0048025,0.0048025,0.0048025
107,17667,0.643,0.3389,0.87094,0.93277,0.92016,0.97265,0.82798,0.58731,0.30624,0.8632,0.004753,0.004753,0.004753
108,17839.2,0.64265,0.34128,0.86762,0.92717,0.92506,0.97183,0.8277,0.59159,0.30689,0.8646,0.0047035,0.0047035,0.0047035
109,18009.9,0.64008,0.33653,0.86784,0.93255,0.91991,0.97177,0.82747,0.58973,0.30676,0.86482,0.004654,0.004654,0.004654
110,18180.6,0.63904,0.33673,0.86736,0.92709,0.92698,0.97156,0.82711,0.59045,0.30615,0.86487,0.0046045,0.0046045,0.0046045
111,18351.6,0.63708,0.33865,0.86733,0.92563,0.9289,0.9722,0.82799,0.59083,0.30528,0.86499,0.004555,0.004555,0.004555
112,18518.3,0.63714,0.33526,0.86702,0.9314,0.92385,0.9727,0.8291,0.58911,0.30529,0.86342,0.0045055,0.0045055,0.0045055
113,18689.6,0.63427,0.33292,0.86768,0.92628,0.93054,0.97171,0.82861,0.58767,0.30467,0.86371,0.004456,0.004456,0.004456
114,18862.3,0.63357,0.33341,0.86481,0.92974,0.92331,0.97236,0.82847,0.58883,0.30533,0.86428,0.0044065,0.0044065,0.0044065
115,19031.9,0.63194,0.33263,0.86461,0.92204,0.93061,0.97238,0.82756,0.59056,0.30483,0.86523,0.004357,0.004357,0.004357
116,19200.9,0.63387,0.33301,0.86602,0.91772,0.93697,0.97309,0.82849,0.5911,0.30374,0.86567,0.0043075,0.0043075,0.0043075
