epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,16816.9,0.68784,0.36501,0.87867,0.93264,0.92039,0.97138,0.81513,0.62162,0.32688,0.86814,0.004159,0.004159,0.004159
120,16964.7,0.6865,0.36291,0.87959,0.92863,0.92548,0.97128,0.8152,0.62186,0.32659,0.869,0.0041095,0.0041095,0.0041095
121,17108,0.6899,0.36466,0.88108,0.93077,0.9227,0.97094,0.81619,0.62162,0.32584,0.86896,0.00406,0.00406,0.00406
122,17254,0.6847,0.35985,0.87868,0.92622,0.92548,0.97109,0.81523,0.621,0.32586,0.86892,0.0040105,0.0040105,0.0040105
123,17401.7,0.68656,0.36338,0.88395,0.93483,0.91807,0.9713,0.81514,0.61927,0.32564,0.86724,0.003961,0.003961,0.003961
124,17546.9,0.68303,0.36032,0.88006,0.93332,0.92027,0.97077,0.81539,0.61853,0.32495,0.86763,0.0039115,0.0039115,0.0039115
125,17692,0.68632,0.36074,0.87917,0.93056,0.92155,0.97051,0.81557,0.61957,0.32536,0.86818,0.003862,0.003862,0.003862
126,17842.3,0.68257,0.35835,0.87828,0.93265,0.91821,0.97124,0.8156,0.61867,0.32513,0.86754,0.0038125,0.0038125,0.0038125
127,17987.8,0.6835,0.36074,0.87822,0.93267,0.919,0.97187,0.81634,0.61804,0.32405,0.86749,0.003763,0.003763,0.003763
128,18131.1,0.67594,0.35847,0.87882,0.93114,0.92108,0.97163,0.8159,0.6193,0.32422,0.86819,0.0037135,0.0037135,0.0037135
129,18276.6,0.67928,0.35896,0.88047,0.92551,0.92305,0.97116,0.81561,0.62074,0.32504,0.86879,0.003664,0.003664,0.003664
130,18421.6,0.68121,0.35968,0.87897,0.93255,0.91515,0.97183,0.81561,0.62018,0.32372,0.86893,0.0036145,0.0036145,0.0036145
131,18561.3,0.6768,0.35847,0.87713,0.9293,0.92321,0.97196,0.81704,0.61918,0.32374,0.86818,0.003565,0.003565,0.003565
132,18710.5,0.67876,0.35781,0.87551,0.93201,0.91997,0.97152,0.81613,0.61908,0.32424,0.86827,0.0035155,0.0035155,0.0035155
133,18859.2,0.67616,0.35682,0.87837,0.9266,0.9234,0.97152,0.81665,0.61908,0.32429,0.86848,0.003466,0.003466,0.003466
134,18999.9,0.6746,0.35552,0.87613,0.92826,0.92386,0.97143,0.81683,0.61862,0.3236,0.86857,0.0034165,0.0034165,0.0034165
135,19146.1,0.67361,0.35473,0.877,0.92702,0.92363,0.97113,0.8162,0.6186,0.32256,0.86839,0.003367,0.003367,0.003367
136,19293.2,0.67327,0.35407,0.87587,0.93538,0.91576,0.97101,0.81704,0.61851,0.32164,0.86793,0.0033175,0.0033175,0.0033175
137,19440.3,0.67305,0.3552,0.87689,0.93469,0.91842,0.97109,0.81651,0.61961,0.32222,0.8678,0.003268,0.003268,0.003268
138,19582,0.6746,0.35369,0.87708,0.93407,0.91842,0.97169,0.81697,0.61864,0.3222,0.86781,0.0032185,0.0032185,0.0032185
139,19730.9,0.66706,0.35244,0.87607,0.93208,0.91923,0.97151,0.81751,0.62029,0.32278,0.86854,0.003169,0.003169,0.003169
140,19880.6,0.6663,0.35132,0.87288,0.92971,0.9234,0.97201,0.81768,0.61902,0.32246,0.8683,0.0031195,0.0031195,0.0031195
141,20022.9,0.66988,0.35374,0.87544,0.93137,0.91969,0.9716,0.81763,0.61822,0.32194,0.86846,0.00307,0.00307,0.00307
142,20168,0.66959,0.35177,0.87282,0.93291,0.92027,0.97244,0.81823,0.61665,0.32108,0.86819,0.0030205,0.0030205,0.0030205
143,20312.1,0.66626,0.35081,0.87299,0.93292,0.91969,0.97213,0.81854,0.61568,0.32076,0.86844,0.002971,0.002971,0.002971
144,20458.6,0.66438,0.35051,0.87384,0.932,0.91991,0.97169,0.81789,0.61666,0.32072,0.86881,0.0029215,0.0029215,0.0029215
145,20605.6,0.66369,0.35126,0.87439,0.93103,0.92004,0.97153,0.81874,0.61554,0.32098,0.86786,0.002872,0.002872,0.002872
146,20752.4,0.65898,0.34694,0.87235,0.9337,0.91703,0.97136,0.81975,0.61508,0.31947,0.86775,0.0028225,0.0028225,0.0028225
